中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
154.211.8.49,443,0.0.0.0,CN,San Jose,官方,158 ms,null Mbps,null kB/s
154.211.8.57,443,0.0.0.0,CN,San Jose,官方,158 ms,null Mbps,null kB/s
154.211.8.51,443,0.0.0.0,CN,San Jose,官方,153 ms,null Mbps,null kB/s
158.180.231.216,443,2603:c027:1:5610:e035:d6ae:8635:ee8d,IT,,隧道,277 ms,21 Mbps,2792 kB/s
154.211.8.53,443,0.0.0.0,CN,San Jose,官方,158 ms,null Mbps,null kB/s
18.191.122.211,443,3.130.94.216,US,,隧道,196 ms,0 Mbps,113 kB/s
154.211.8.63,443,0.0.0.0,CN,San Jose,官方,158 ms,null Mbps,null kB/s
154.211.8.61,443,0.0.0.0,CN,San Jose,官方,143 ms,null Mbps,null kB/s
154.211.8.68,443,0.0.0.0,CN,San Jose,官方,155 ms,null Mbps,null kB/s
154.211.8.43,443,0.0.0.0,CN,San Jose,官方,152 ms,null Mbps,null kB/s
154.211.8.62,443,0.0.0.0,CN,San Jose,官方,144 ms,null Mbps,null kB/s
154.211.8.65,443,0.0.0.0,CN,San Jose,官方,142 ms,null Mbps,null kB/s
154.211.8.59,443,0.0.0.0,CN,San Jose,官方,154 ms,null Mbps,null kB/s
154.211.8.52,443,0.0.0.0,CN,San Jose,官方,154 ms,null Mbps,null kB/s
154.211.8.47,443,0.0.0.0,CN,San Jose,官方,157 ms,null Mbps,null kB/s
154.211.8.15,443,0.0.0.0,CN,San Jose,官方,145 ms,null Mbps,null kB/s
154.211.8.66,443,0.0.0.0,CN,San Jose,官方,178 ms,null Mbps,null kB/s
154.211.8.74,443,0.0.0.0,CN,San Jose,官方,168 ms,null Mbps,null kB/s
154.211.8.70,443,0.0.0.0,CN,San Jose,官方,157 ms,null Mbps,null kB/s
154.211.8.75,443,0.0.0.0,CN,San Jose,官方,157 ms,null Mbps,null kB/s
154.211.8.72,443,0.0.0.0,CN,San Jose,官方,152 ms,null Mbps,null kB/s
18.185.254.189,443,2a05:d014:ed:9600:f52b:ab01:6bb:bc9d,DE,,隧道,1150 ms,134 Mbps,17203 kB/s
154.211.8.81,443,0.0.0.0,CN,San Jose,官方,145 ms,null Mbps,null kB/s
154.211.8.82,443,0.0.0.0,CN,San Jose,官方,146 ms,null Mbps,null kB/s
154.211.8.71,443,0.0.0.0,CN,San Jose,官方,159 ms,null Mbps,null kB/s
154.211.8.44,443,0.0.0.0,CN,San Jose,官方,1162 ms,null Mbps,null kB/s
154.211.8.76,443,0.0.0.0,CN,San Jose,官方,146 ms,null Mbps,null kB/s
154.211.8.80,443,0.0.0.0,CN,San Jose,官方,147 ms,null Mbps,null kB/s
154.211.8.28,443,0.0.0.0,CN,San Jose,官方,159 ms,null Mbps,null kB/s
